FFZS_APP_FFANGIP_USER_OPEN	飞凡全球招商平台	APP	飞凡全球招商	启动	用户启动app	启动
FFZS_APP_FFANGIP_HOME_BANNER_CLK	飞凡全球招商平台	APP	飞凡全球招商	首页	banner	点击
FFZS_APP_FFANGIP_HOME_SHOW_SW	飞凡全球招商平台	APP	飞凡全球招商	首页	展示	曝光
FFZS_APP_FFANGIP_HOME_SEARCH_CLK	飞凡全球招商平台	APP	飞凡全球招商	首页	搜索框	点击
FFZS_APP_FFANGIP_HOME_BRAND_CLK	飞凡全球招商平台	APP	飞凡全球招商	首页	找品牌	点击
FFZS_APP_FFANGIP_HOME_DEVELOPERS_CLK	飞凡全球招商平台	APP	飞凡全球招商	首页	找项目	点击
FFZS_APP_FFANGIP_HOME_RECOMDEVELOPERS_CLK	飞凡全球招商平台	APP	飞凡全球招商	首页	热门项目推荐	点击
FFZS_APP_FFANGIP_HOME_RECOMDEVELOPERSALL_CLK	飞凡全球招商平台	APP	飞凡全球招商	首页	热门项目推荐更多	点击
FFZS_APP_FFANGIP_HOME_RECOMBRAND_CLK	飞凡全球招商平台	APP	飞凡全球招商	首页	热门品牌推荐	点击
FFZS_APP_FFANGIP_HOME_RECOMBRANDALL_CLK	飞凡全球招商平台	APP	飞凡全球招商	首页	热门品牌推荐更多	点击
FFZS_APP_FFANGIP_HOME_NEWS_CLK	飞凡全球招商平台	APP	飞凡全球招商	首页	资讯	点击
FFZS_APP_FFANGIP_HOME_NEWSALL_CLK	飞凡全球招商平台	APP	飞凡全球招商	首页	资讯更多	点击
FFZS_APP_FFANGIP_HOME_HOME_CLK	飞凡全球招商平台	APP	飞凡全球招商	首页	主BAR-首页	点击
FFZS_APP_FFANGIP_HOME_VR_CLK	飞凡全球招商平台	APP	飞凡全球招商	首页	主BAR-VR	点击
FFZS_APP_FFANGIP_HOME_AUCTION_CLK	飞凡全球招商平台	APP	飞凡全球招商	首页	主BAR-秒杀	点击
FFZS_APP_FFANGIP_HOME_PUBLISH_CLK	飞凡全球招商平台	APP	飞凡全球招商	首页	主BAR-发布	点击
FFZS_APP_FFANGIP_HOME_MY_CLK	飞凡全球招商平台	APP	飞凡全球招商	首页	主BAR-我的	点击
FFZS_APP_FFANGIP_HOME_MESSAGE_CLK	飞凡全球招商平台	APP	飞凡全球招商	首页	我的消息	点击
FFZS_APP_FFANGIP_BRANDHOME_SEARCH_CLK	飞凡全球招商平台	APP	飞凡全球招商	品牌首页	搜索框	点击
FFZS_APP_FFANGIP_BRANDHOME_BANNER_CLK	飞凡全球招商平台	APP	飞凡全球招商	品牌首页	banner	点击
FFZS_APP_FFANGIP_BRANDHOME_SORT_CLK	飞凡全球招商平台	APP	飞凡全球招商	品牌首页	品牌业态icon	点击
FFZS_APP_FFANGIP_BRANDHOME_SHOW_SW	飞凡全球招商平台	APP	飞凡全球招商	品牌首页	展示	曝光
FFZS_APP_FFANGIP_BRANDHOME_DEVRECOMBRAND_CLK	飞凡全球招商平台	APP	飞凡全球招商	品牌首页	开店专区模块—开店计划	点击
FFZS_APP_FFANGIP_BRANDHOME_DEVRECOMBRANDALL_CLK	飞凡全球招商平台	APP	飞凡全球招商	品牌首页	开店专区模块—开店计划更多	点击
FFZS_APP_FFANGIP_BRANDHOME_DEVRECOMBRANDCONTACTER_CLK	飞凡全球招商平台	APP	飞凡全球招商	品牌首页	开店专区模块—开店计划联系人	点击
FFZS_APP_FFANGIP_BRANDHOME_RECOMDEVBRAND_CLK	飞凡全球招商平台	APP	飞凡全球招商	品牌首页	开店专区模块—品牌推荐	点击
FFZS_APP_FFANGIP_BRANDHOME_RECOMDEVBRANDINTENTION_CLK	飞凡全球招商平台	APP	飞凡全球招商	品牌首页	开店专区模块—意向播报	点击
